OCANumber,IncidentFromDate,IncidentFromTime,IncidentToDate,IncidentToTime,OffenseCode,Offense Description,CaseStatus,CaseDisposition,LocationCode,PatrolZone,LocationLandmark,LocationStreetNumber,LocationDirectional,LocationStreet,LocationLatitude,LocationLongitude,CreatedSource
16010031,1/6/16,19:00:00,1/7/16,13:49:00,2902,Damage to Property - Private,Inactive,,PUB,Z4,Ninth Street  NW b/w Hemphill Avenue  NW & McMillan Street  NW,,,,,,1
16010055,1/12/16,18:00:00,1/12/16,21:00:00,9999,Non-Crime (not reported to state),Inactive,,ONCAM,Z4,West Campus Market,875,,Curran Street  NW,33.77916113,-84.40553266,1
16010075,1/15/16,13:30:00,1/15/16,20:04:00,9999,Non-Crime (not reported to state),Closed/Cleared,,ONCAM,Z3,Student Health Center Lot,740,,Ferst Drive  NW,,,1
16010083,1/16/16,9:50:00,,,9999,Non-Crime (not reported to state),Closed/Cleared,,ONCAM,Z1,Ken Byers Tennis Complex,960,,Fowler Street  NW,33.7811365,-84.39426965,1
16010113,1/20/16,20:20:00,1/20/16,20:50:00,3562,Marijuana - Possession of,Closed/Cleared,Cleared by Arrest,PUB,OFFCAM,Marietta Street  NW @ Means Street  NW,,,,,,1
16010161,1/27/16,21:28:00,,,5499,Traffic Offense (describe offense),Closed/Cleared,Cleared by Arrest,NONCAM,Z1,Tenth Street  NW / Fowler Street  NW,,,,,,1
16010168,1/28/16,8:00:00,1/28/16,9:20:00,9999,Non-Crime (not reported to state),Closed/Cleared,,ONCAM,Z1,North Campus Parking Deck,352,,Peachtree Place  NW,33.780819,-84.397985,1
16010169,1/28/16,12:00:00,1/28/16,13:15:00,2308,Larceny - From Building,Inactive,,ONCAM,Z3,Klaus Advanced Computing Building,266,,Ferst Drive NW,,,1
16010183,1/30/16,8:55:00,,,5499,Traffic Offense (describe offense),Closed/Cleared,Cleared by Arrest,PUB,Z4,Tech Parkway  NW and Northside Drive  NW,,,,,,1
16020211,2/3/16,23:12:00,,,4803,Making A False Report/Giving False Information,Closed/Cleared,Cleared by Arrest,PUB,Z4,Northside Drive  NW @ Marietta Street  NW,,,,,,1
